Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;West Africa;160;e;110;e;265;e
;;;Central Africa;50;e;45;e;95;e
;;;East Africa;1095;e;860;e;1955;e
;;;Southern Africa;20;e;20;e;40;e
;;;America;445;e;460;e;905;e
;;;North America;330;e;225;e;555;e
;;;Central America and Caribbean;35;e;55;e;85;e
;;;South America;85;e;180;e;265;e
;;;Asia;5150;e;3865;e;9020;e
;;;South West Asia;2590;e;1745;e;4335;e
;;;South and South East Asia;860;e;1035;e;1895;e
;;;East and Central Asia;1700;e;1085;e;2790;e
;;;Australia and Oceania;30;e;25;e;50;e
;;;Countries of origin of foreign workers;8965;e;7420;e;16385;e
;;;Territory of former Yugoslavia;2485;e;2105;e;4590;e
;;;Territory of former Serbia and Montenegro;950;e;825;e;1775;e
;;;Territory of the former Soviet Union;2035;e;3085;e;5120;e
;;;Territory of former Czechoslovakia;205;e;225;e;430;e
;;;United Kingdom incl. British overseas territories;195;e;80;e;275;e
;06432;Darmstadt-Dieburg, Landkreis;Total;29575;e;26840;e;56415;e
;;;videlicet:;;;;;;
;;;Europe;21280;e;19880;e;41160;e
;;;EU-27 (since 2020-02-01);12540;e;10895;e;23435;e
;;;EU-27 third countries (since 2020-02-01);17030;e;15950;e;32980;e
;;;EU-28 (until 2020-01-31);12730;e;11010;e;23745;e
;;;EU-28 third countries (until 2020-01-31);16840;e;15830;e;32670;e
;;;EU-27 (until 2013-06-30);11575;e;9860;e;21435;e
;;;EU-27 third countries (until 2013-06-30);18000;e;16985;e;34980;e
;;;EU-25 (until 2006-12-31);8790;e;7750;e;16540;e
;;;EU-25 third countries (until 2006-12-31);20785;e;19090;e;39875;e
;;;EU-15 (until 2004-04-30);5635;e;4765;e;10400;e
;;;EU-15 third countries (until 2004-04-30);23940;e;22080;e;46015;e
;;;EC-12 (until 1994-12-31);5295;e;4405;e;9705;e
;;;EC-12 third countries (until 1994-12-31);24280;e;22435;e;46715;e
;;;EC-10 (until 1985-12-31);3930;e;3200;e;7130;e
;;;EC-10 third countries (until 1985-12-31);25645;e;23640;e;49285;e
;;;EC-9 (until 1980-12-31);3245;e;2560;e;5805;e
;;;EC-9 third countries (until 1980-12-31);26330;e;24280;e;50610;e
;;;EEC-6 (until 1972-12-31);2995;e;2390;e;5385;e
;;;EEC-6 third countries (until 1972-12-31);26575;e;24450;e;51030;e
;;;Africa;1735;e;1410;e;3140;e
;;;North Africa;450;e;320;e;770;e
;;;West Africa;210;e;135;e;345;e
;;;Central Africa;150;e;120;e;270;e
;;;East Africa;895;e;795;e;1690;e
;;;Southern Africa;25;e;35;e;60;e
;;;America;640;e;625;e;1265;e
;;;North America;440;e;255;e;695;e
;;;Central America and Caribbean;60;e;95;e;155;e
;;;South America;140;e;275;e;415;e
;;;Asia;5775;e;4830;e;10605;e
;;;South West Asia;2260;e;1660;e;3915;e
;;;South and South East Asia;1635;e;1735;e;3370;e
;;;East and Central Asia;1880;e;1440;e;3320;e
;;;Australia and Oceania;20;e;20;e;40;e
;;;Countries of origin of foreign workers;12430;e;10755;e;23185;e
;;;Territory of former Yugoslavia;3010;e;2820;e;5830;e
;;;Territory of former Serbia and Montenegro;1020;e;910;e;1930;e
;;;Territory of the former Soviet Union;2335;e;3465;e;5800;e
;;;Territory of former Czechoslovakia;160;e;215;e;375;e
;;;United Kingdom incl. British overseas territories;190;e;120;e;310;e
;06433;Groß-Gerau, Landkreis;Total;40685;e;35290;e;75975;e
;;;videlicet:;;;;;;
;;;Europe;30685;e;26485;e;57175;e
;;;EU-27 (since 2020-02-01);19200;e;15165;e;34365;e
;;;EU-27 third countries (since 2020-02-01);21485;e;20125;e;41610;e
;;;EU-28 (until 2020-01-31);19345;e;15250;e;34595;e
;;;EU-28 third countries (until 2020-01-31);21340;e;20045;e;41385;e
;;;EU-27 (until 2013-06-30);17945;e;14075;e;32015;e
;;;EU-27 third countries (until 2013-06-30);22740;e;21220;e;43960;e
;;;EU-25 (until 2006-12-31);12355;e;10225;e;22580;e
;;;EU-25 third countries (until 2006-12-31);28330;e;25065;e;53395;e
;;;EU-15 (until 2004-04-30);8725;e;7145;e;15870;e
;;;EU-15 third countries (until 2004-04-30);31960;e;28150;e;60105;e
;;;EC-12 (until 1994-12-31);8365;e;6815;e;15180;e
;;;EC-12 third countries (until 1994-12-31);32320;e;28480;e;60800;e
;;;EC-10 (until 1985-12-31);6605;e;5445;e;12050;e
;;;EC-10 third countries (until 1985-12-31);34080;e;29845;e;63925;e
;;;EC-9 (until 1980-12-31);3740;e;2880;e;6620;e
;;;EC-9 third countries (until 1980-12-31);36945;e;32415;e;69360;e
;;;EEC-6 (until 1972-12-31);3535;e;2735;e;6275;e
;;;EEC-6 third countries (until 1972-12-31);37150;e;32555;e;69705;e
;;;Africa;2270;e;2145;e;4410;e
;;;North Africa;1230;e;1245;e;2480;e
;;;West Africa;175;e;140;e;320;e
;;;Central Africa;70;e;65;e;135;e
;;;East Africa;765;e;650;e;1415;e
;;;Southern Africa;25;e;40;e;65;e
;;;America;620;e;600;e;1220;e
;;;North America;430;e;190;e;625;e
;;;Central America and Caribbean;65;e;100;e;165;e
;;;South America;120;e;310;e;430;e
;;;Asia;6935;e;5935;e;12870;e
;;;South West Asia;2380;e;1780;e;4160;e
;;;South and South East Asia;2430;e;2515;e;4945;e
;;;East and Central Asia;2125;e;1640;e;3765;e
;;;Australia and Oceania;20;e;15;e;35;e
;;;Countries of origin of foreign workers;19640;e;17060;e;36695;e
;;;Territory of former Yugoslavia;3970;e;3185;e;7155;e
;;;Territory of former Serbia and Montenegro;1540;e;1210;e;2750;e
;;;Territory of the former Soviet Union;2105;e;3120;e;5225;e
;;;Territory of former Czechoslovakia;150;e;215;e;370;e
;;;United Kingdom incl. British overseas territories;145;e;85;e;230;e
;06434;Hochtaunuskreis;Total;25290;e;26325;e;51615;e
;;;videlicet:;;;;;;
;;;Europe;16060;e;17275;e;33340;e
;;;EU-27 (since 2020-02-01);9730;e;9800;e;19530;e
;;;EU-27 third countries (since 2020-02-01);15560;e;16525;e;32085;e
;;;EU-28 (until 2020-01-31);10110;e;10105;e;20215;e
;;;EU-28 third countries (until 2020-01-31);15180;e;16220;e;31405;e
;;;EU-27 (until 2013-06-30);8905;e;8910;e;17815;e
;;;EU-27 third countries (until 2013-06-30);16385;e;17415;e;33805;e
;;;EU-25 (until 2006-12-31);7215;e;7275;e;14490;e
;;;EU-25 third countries (until 2006-12-31);18075;e;19055;e;37130;e
;;;EU-15 (until 2004-04-30);5060;e;4640;e;9700;e
;;;EU-15 third countries (until 2004-04-30);20235;e;21685;e;41920;e
;;;EC-12 (until 1994-12-31);4485;e;3975;e;8460;e
;;;EC-12 third countries (until 1994-12-31);20805;e;22350;e;43155;e
;;;EC-10 (until 1985-12-31);3435;e;2925;e;6360;e
;;;EC-10 third countries (until 1985-12-31);21855;e;23400;e;45255;e
;;;EC-9 (until 1980-12-31);2935;e;2515;e;5450;e
;;;EC-9 third countries (until 1980-12-31);22355;e;23815;e;46170;e
;;;EEC-6 (until 1972-12-31);2420;e;2070;e;4490;e
;;;EEC-6 third countries (until 1972-12-31);22870;e;24255;e;47130;e
;;;Africa;1455;e;1300;e;2755;e
;;;North Africa;415;e;360;e;770;e
;;;West Africa;165;e;115;e;280;e
;;;Central Africa;45;e;60;e;105;e
;;;East Africa;770;e;675;e;1440;e
;;;Southern Africa;60;e;95;e;155;e
;;;America;965;e;1330;e;2295;e
;;;North America;680;e;745;e;1425;e
;;;Central America and Caribbean;100;e;145;e;240;e
;;;South America;190;e;440;e;625;e
;;;Asia;6630;e;6260;e;12890;e
;;;South West Asia;1600;e;1225;e;2825;e
;;;South and South East Asia;1610;e;1820;e;3430;e
;;;East and Central Asia;3420;e;3220;e;6640;e
;;;Australia and Oceania;50;e;50;e;100;e
;;;Countries of origin of foreign workers;8640;e;7865;e;16505;e
;;;Territory of former Yugoslavia;3045;e;2915;e;5955;e
;;;Territory of former Serbia and Montenegro;1100;e;1040;e;2145;e
;;;Territory of the former Soviet Union;2105;e;3760;e;5865;e
;;;Territory of former Czechoslovakia;175;e;335;e;510;e
;;;United Kingdom incl. British overseas territories;380;e;305;e;685;e
;06435;Main-Kinzig-Kreis;Total;46115;e;42295;e;88410;e
;;;videlicet:;;;;;;
;;;Europe;33000;e;31230;e;64230;e
;;;EU-27 (since 2020-02-01);18240;e;15705;e;33945;e
;;;EU-27 third countries (since 2020-02-01);27875;e;26590;e;54465;e
;;;EU-28 (until 2020-01-31);18405;e;15825;e;34230;e
;;;EU-28 third countries (until 2020-01-31);27710;e;26465;e;54180;e
;;;EU-27 (until 2013-06-30);16430;e;14060;e;30485;e
;;;EU-27 third countries (until 2013-06-30);29685;e;28235;e;57920;e
;;;EU-25 (until 2006-12-31);10415;e;9515;e;19930;e
;;;EU-25 third countries (until 2006-12-31);35700;e;32780;e;68480;e
;;;EU-15 (until 2004-04-30);6500;e;5335;e;11840;e
;;;EU-15 third countries (until 2004-04-30);39615;e;36955;e;76570;e
;;;EC-12 (until 1994-12-31);6050;e;4875;e;10930;e
;;;EC-12 third countries (until 1994-12-31);40065;e;37415;e;77480;e
;;;EC-10 (until 1985-12-31);4760;e;3810;e;8575;e
;;;EC-10 third countries (until 1985-12-31);41355;e;38480;e;79835;e
;;;EC-9 (until 1980-12-31);3960;e;3210;e;7170;e
;;;EC-9 third countries (until 1980-12-31);42155;e;39080;e;81240;e
;;;EEC-6 (until 1972-12-31);3725;e;3035;e;6760;e
;;;EEC-6 third countries (until 1972-12-31);42390;e;39255;e;81650;e
;;;Africa;2245;e;2060;e;4305;e
;;;North Africa;720;e;720;e;1440;e
;;;West Africa;275;e;205;e;480;e
;;;Central Africa;95;e;95;e;190;e
;;;East Africa;1115;e;990;e;2105;e
;;;Southern Africa;40;e;45;e;85;e
;;;America;885;e;830;e;1710;e
;;;North America;660;e;320;e;980;e
;;;Central America and Caribbean;80;e;130;e;215;e
;;;South America;140;e;375;e;515;e
;;;Asia;9740;e;7970;e;17715;e
;;;South West Asia;4240;e;2990;e;7230;e
;;;South and South East Asia;1360;e;1945;e;3305;e
;;;East and Central Asia;4140;e;3035;e;7175;e
;;;Australia and Oceania;35;e;30;e;60;e
;;;Countries of origin of foreign workers;19230;e;16950;e;36180;e
;;;Territory of former Yugoslavia;5955;e;5275;e;11225;e
;;;Territory of former Serbia and Montenegro;2040;e;1710;e;3750;e
;;;Territory of the former Soviet Union;3575;e;5725;e;9300;e
;;;Territory of former Czechoslovakia;255;e;335;e;590;e
;;;United Kingdom incl. British overseas territories;170;e;120;e;290;e
;06436;Main-Taunus-Kreis;Total;29145;e;26475;e;55620;e
;;;videlicet:;;;;;;
;;;Europe;19265;e;17630;e;36895;e
;;;EU-27 (since 2020-02-01);12365;e;10480;e;22845;e
;;;EU-27 third countries (since 2020-02-01);16780;e;15995;e;32775;e
;;;EU-28 (until 2020-01-31);12655;e;10675;e;23330;e
;;;EU-28 third countries (until 2020-01-31);16490;e;15800;e;32290;e
;;;EU-27 (until 2013-06-30);10190;e;8595;e;18790;e
;;;EU-27 third countries (until 2013-06-30);18955;e;17880;e;36835;e
;;;EU-25 (until 2006-12-31);7930;e;6985;e;14915;e
;;;EU-25 third countries (until 2006-12-31);21215;e;19490;e;40705;e
;;;EU-15 (until 2004-04-30);5565;e;4705;e;10265;e
;;;EU-15 third countries (until 2004-04-30);23580;e;21775;e;45355;e
;;;EC-12 (until 1994-12-31);5035;e;4165;e;9200;e
;;;EC-12 third countries (until 1994-12-31);24110;e;22315;e;46420;e
;;;EC-10 (until 1985-12-31);3990;e;3255;e;7250;e
;;;EC-10 third countries (until 1985-12-31);25155;e;23220;e;48375;e
;;;EC-9 (until 1980-12-31);3295;e;2630;e;5925;e
;;;EC-9 third countries (until 1980-12-31);25850;e;23845;e;49700;e
;;;EEC-6 (until 1972-12-31);2880;e;2335;e;5215;e
;;;EEC-6 third countries (until 1972-12-31);26265;e;24140;e;50410;e
;;;Africa;1520;e;1380;e;2895;e
;;;North Africa;645;e;585;e;1230;e
;;;West Africa;160;e;115;e;275;e
;;;Central Africa;40;e;45;e;85;e
;;;East Africa;645;e;575;e;1220;e
;;;Southern Africa;30;e;55;e;85;e
;;;America;850;e;900;e;1755;e
;;;North America;585;e;435;e;1020;e
;;;Central America and Caribbean;70;e;110;e;180;e
;;;South America;195;e;355;e;550;e
;;;Asia;7280;e;6400;e;13680;e
;;;South West Asia;1690;e;1225;e;2915;e
;;;South and South East Asia;1955;e;1975;e;3930;e
;;;East and Central Asia;3630;e;3200;e;6835;e
;;;Australia and Oceania;50;e;30;e;80;e
;;;Countries of origin of foreign workers;11560;e;9610;e;21170;e
;;;Territory of former Yugoslavia;4730;e;3855;e;8585;e
;;;Territory of former Serbia and Montenegro;1370;e;1050;e;2420;e
;;;Territory of the former Soviet Union;1950;e;3175;e;5125;e
;;;Territory of former Czechoslovakia;170;e;250;e;420;e
;;;United Kingdom incl. British overseas territories;290;e;195;e;485;e
;06437;Odenwaldkreis;Total;8125;e;7855;e;15980;e
;;;videlicet:;;;;;;
;;;Europe;7185;e;6880;e;14065;e
;;;EU-27 (since 2020-02-01);4595;e;4170;e;8765;e
;;;EU-27 third countries (since 2020-02-01);3530;e;3685;e;7215;e
;;;EU-28 (until 2020-01-31);4635;e;4180;e;8815;e
;;;EU-28 third countries (until 2020-01-31);3490;e;3675;e;7165;e
;;;EU-27 (until 2013-06-30);4470;e;4000;e;8470;e
;;;EU-27 third countries (until 2013-06-30);3655;e;3855;e;7510;e
;;;EU-25 (until 2006-12-31);2680;e;2625;e;5305;e
;;;EU-25 third countries (until 2006-12-31);5445;e;5230;e;10675;e
;;;EU-15 (until 2004-04-30);1915;e;1805;e;3720;e
;;;EU-15 third countries (until 2004-04-30);6210;e;6050;e;12260;e
;;;EC-12 (until 1994-12-31);1815;e;1690;e;3505;e
;;;EC-12 third countries (until 1994-12-31);6310;e;6165;e;12475;e
;;;EC-10 (until 1985-12-31);1505;e;1410;e;2915;e
;;;EC-10 third countries (until 1985-12-31);6620;e;6445;e;13065;e
;;;EC-9 (until 1980-12-31);465;e;340;e;805;e
;;;EC-9 third countries (until 1980-12-31);7660;e;7515;e;15175;e
;;;EEC-6 (until 1972-12-31);415;e;320;e;735;e
;;;EEC-6 third countries (until 1972-12-31);7710;e;7535;e;15245;e
;;;Africa;140;e;105;e;245;e
;;;North Africa;40;e;30;e;70;e
;;;West Africa;10;e;5;e;15;e
;;;Central Africa;5;e;5;e;10;e
;;;East Africa;80;e;60;e;140;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;75;e;125;e;195;e
;;;North America;45;e;45;e;90;e
;;;Central America and Caribbean;5;e;20;e;25;e
;;;South America;20;e;60;e;85;e
;;;Asia;710;e;725;e;1435;e
;;;South West Asia;360;e;290;e;650;e
;;;South and South East Asia;180;e;305;e;480;e
;;;East and Central Asia;170;e;135;e;305;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;3815;e;3640;e;7460;e
;;;Territory of former Yugoslavia;535;e;545;e;1080;e
;;;Territory of former Serbia and Montenegro;125;e;105;e;225;e
;;;Territory of the former Soviet Union;640;e;920;e;1565;e
;;;Territory of former Czechoslovakia;55;e;95;e;150;e
;;;United Kingdom incl. British overseas territories;40;e;10;e;50;e
;06438;Offenbach, Landkreis;Total;47560;e;44210;e;91770;e
;;;videlicet:;;;;;;
;;;Europe;34380;e;31685;e;66065;e
;;;EU-27 (since 2020-02-01);20790;e;17960;e;38750;e
;;;EU-27 third countries (since 2020-02-01);26775;e;26245;e;53020;e
;;;EU-28 (until 2020-01-31);21095;e;18195;e;39290;e
;;;EU-28 third countries (until 2020-01-31);26465;e;26010;e;52475;e
;;;EU-27 (until 2013-06-30);17850;e;15205;e;33060;e
;;;EU-27 third countries (until 2013-06-30);29710;e;29000;e;58710;e
;;;EU-25 (until 2006-12-31);12620;e;11185;e;23805;e
;;;EU-25 third countries (until 2006-12-31);34940;e;33025;e;67965;e
;;;EU-15 (until 2004-04-30);8920;e;7475;e;16395;e
;;;EU-15 third countries (until 2004-04-30);38645;e;36730;e;75375;e
;;;EC-12 (until 1994-12-31);8245;e;6835;e;15080;e
;;;EC-12 third countries (until 1994-12-31);39315;e;37375;e;76690;e
;;;EC-10 (until 1985-12-31);6415;e;5225;e;11640;e
;;;EC-10 third countries (until 1985-12-31);41145;e;38985;e;80125;e
;;;EC-9 (until 1980-12-31);5340;e;4305;e;9640;e
;;;EC-9 third countries (until 1980-12-31);42220;e;39905;e;82125;e
;;;EEC-6 (until 1972-12-31);4920;e;3965;e;8885;e
;;;EEC-6 third countries (until 1972-12-31);42640;e;40240;e;82885;e
;;;Africa;2810;e;2830;e;5640;e
;;;North Africa;1205;e;1255;e;2460;e
;;;West Africa;205;e;160;e;365;e
;;;Central Africa;80;e;65;e;145;e
;;;East Africa;1255;e;1270;e;2530;e
;;;Southern Africa;60;e;75;e;140;e
;;;America;875;e;1070;e;1940;e
;;;North America;565;e;395;e;955;e
;;;Central America and Caribbean;100;e;140;e;235;e
;;;South America;210;e;540;e;750;e
;;;Asia;9235;e;8410;e;17645;e
;;;South West Asia;2635;e;1905;e;4540;e
;;;South and South East Asia;2450;e;2930;e;5380;e
;;;East and Central Asia;4150;e;3575;e;7725;e
;;;Australia and Oceania;45;e;40;e;90;e
;;;Countries of origin of foreign workers;22575;e;19835;e;42410;e
;;;Territory of former Yugoslavia;7685;e;6855;e;14540;e
;;;Territory of former Serbia and Montenegro;2765;e;2380;e;5145;e
;;;Territory of the former Soviet Union;2350;e;3950;e;6300;e
;;;Territory of former Czechoslovakia;225;e;375;e;600;e
;;;United Kingdom incl. British overseas territories;310;e;240;e;550;e
;06439;Rheingau-Taunus-Kreis;Total;15525;e;14845;e;30370;e
;;;videlicet:;;;;;;
;;;Europe;10575;e;10630;e;21205;e
;;;EU-27 (since 2020-02-01);6075;e;5480;e;11555;e
;;;EU-27 third countries (since 2020-02-01);9450;e;9365;e;18815;e
;;;EU-28 (until 2020-01-31);6185;e;5555;e;11740;e
;;;EU-28 third countries (until 2020-01-31);9340;e;9285;e;18630;e
;;;EU-27 (until 2013-06-30);5655;e;5100;e;10755;e
;;;EU-27 third countries (until 2013-06-30);9875;e;9740;e;19615;e
;;;EU-25 (until 2006-12-31);4140;e;3940;e;8080;e
;;;EU-25 third countries (until 2006-12-31);11385;e;10905;e;22290;e
;;;EU-15 (until 2004-04-30);2275;e;2000;e;4270;e
;;;EU-15 third countries (until 2004-04-30);13255;e;12845;e;26100;e
;;;EC-12 (until 1994-12-31);2010;e;1720;e;3730;e
;;;EC-12 third countries (until 1994-12-31);13520;e;13125;e;26640;e
;;;EC-10 (until 1985-12-31);1685;e;1430;e;3115;e
;;;EC-10 third countries (until 1985-12-31);13840;e;13415;e;27255;e
;;;EC-9 (until 1980-12-31);1475;e;1265;e;2740;e
;;;EC-9 third countries (until 1980-12-31);14050;e;13580;e;27630;e
;;;EEC-6 (until 1972-12-31);1325;e;1120;e;2440;e
;;;EEC-6 third countries (until 1972-12-31);14205;e;13725;e;27930;e
;;;Africa;890;e;720;e;1610;e
;;;North Africa;190;e;145;e;340;e
;;;West Africa;135;e;75;e;215;e
;;;Central Africa;40;e;35;e;75;e
;;;East Africa;505;e;440;e;945;e
;;;Southern Africa;15;e;20;e;35;e
;;;America;465;e;480;e;945;e
;;;North America;355;e;275;e;635;e
;;;Central America and Caribbean;35;e;50;e;90;e
;;;South America;75;e;150;e;225;e
;;;Asia;3400;e;2890;e;6290;e
;;;South West Asia;1555;e;1170;e;2720;e
;;;South and South East Asia;640;e;760;e;1400;e
;;;East and Central Asia;1205;e;960;e;2165;e
;;;Australia and Oceania;25;e;10;e;30;e
;;;Countries of origin of foreign workers;4945;e;4235;e;9180;e
;;;Territory of former Yugoslavia;1585;e;1415;e;3000;e
;;;Territory of former Serbia and Montenegro;690;e;615;e;1305;e
;;;Territory of the former Soviet Union;1790;e;2850;e;4640;e
;;;Territory of former Czechoslovakia;150;e;205;e;360;e
;;;United Kingdom incl. British overseas territories;110;e;80;e;185;e
;06440;Wetteraukreis;Total;27790;e;25800;e;53595;e
;;;videlicet:;;;;;;
;;;Europe;18900;e;18205;e;37105;e
;;;EU-27 (since 2020-02-01);10925;e;9605;e;20530;e
;;;EU-27 third countries (since 2020-02-01);16870;e;16195;e;33065;e
;;;EU-28 (until 2020-01-31);11110;e;9755;e;20865;e
;;;EU-28 third countries (until 2020-01-31);16685;e;16045;e;32730;e
;;;EU-27 (until 2013-06-30);10075;e;8805;e;18875;e
;;;EU-27 third countries (until 2013-06-30);17720;e;17000;e;34720;e
;;;EU-25 (until 2006-12-31);6355;e;5835;e;12190;e
;;;EU-25 third countries (until 2006-12-31);21435;e;19970;e;41405;e
;;;EU-15 (until 2004-04-30);3500;e;3050;e;6550;e
;;;EU-15 third countries (until 2004-04-30);24290;e;22755;e;47045;e
;;;EC-12 (until 1994-12-31);3190;e;2665;e;5860;e
;;;EC-12 third countries (until 1994-12-31);24600;e;23135;e;47735;e
;;;EC-10 (until 1985-12-31);2475;e;1970;e;4445;e
;;;EC-10 third countries (until 1985-12-31);25320;e;23830;e;49150;e
;;;EC-9 (until 1980-12-31);2110;e;1665;e;3775;e
;;;EC-9 third countries (until 1980-12-31);25685;e;24135;e;49820;e
;;;EEC-6 (until 1972-12-31);1870;e;1460;e;3330;e
;;;EEC-6 third countries (until 1972-12-31);25925;e;24340;e;50265;e
;;;Africa;1800;e;1535;e;3335;e
;;;North Africa;470;e;350;e;820;e
;;;West Africa;165;e;130;e;295;e
;;;Central Africa;115;e;125;e;240;e
;;;East Africa;1030;e;895;e;1925;e
;;;Southern Africa;20;e;40;e;60;e
;;;America;770;e;710;e;1480;e
;;;North America;580;e;335;e;915;e
;;;Central America and Caribbean;60;e;95;e;155;e
;;;South America;130;e;280;e;410;e
;;;Asia;6125;e;5200;e;11325;e
;;;South West Asia;2425;e;1740;e;4165;e
;;;South and South East Asia;1355;e;1780;e;3135;e
;;;East and Central Asia;2345;e;1680;e;4025;e
;;;Australia and Oceania;30;e;25;e;50;e
;;;Countries of origin of foreign workers;9430;e;8160;e;17590;e
;;;Territory of former Yugoslavia;2935;e;2695;e;5630;e
;;;Territory of former Serbia and Montenegro;1105;e;960;e;2065;e
;;;Territory of the former Soviet Union;2700;e;4060;e;6760;e
;;;Territory of former Czechoslovakia;155;e;205;e;360;e
;;;United Kingdom incl. British overseas territories;185;e;150;e;335;e
;06531;Gießen, Landkreis;Total;27380;e;23645;e;51020;e
;;;videlicet:;;;;;;
;;;Europe;14350;e;14530;e;28880;e
;;;EU-27 (since 2020-02-01);6135;e;5755;e;11885;e
;;;EU-27 third countries (since 2020-02-01);21245;e;17890;e;39135;e
;;;EU-28 (until 2020-01-31);6205;e;5810;e;12015;e
;;;EU-28 third countries (until 2020-01-31);21170;e;17835;e;39005;e
;;;EU-27 (until 2013-06-30);5875;e;5480;e;11355;e
;;;EU-27 third countries (until 2013-06-30);21500;e;18165;e;39665;e
;;;EU-25 (until 2006-12-31);3880;e;3670;e;7545;e
;;;EU-25 third countries (until 2006-12-31);23500;e;19975;e;43475;e
;;;EU-15 (until 2004-04-30);2285;e;2070;e;4355;e
;;;EU-15 third countries (until 2004-04-30);25090;e;21575;e;46665;e
;;;EC-12 (until 1994-12-31);2065;e;1795;e;3860;e
;;;EC-12 third countries (until 1994-12-31);25315;e;21850;e;47160;e
;;;EC-10 (until 1985-12-31);1735;e;1485;e;3220;e
;;;EC-10 third countries (until 1985-12-31);25645;e;22155;e;47800;e
;;;EC-9 (until 1980-12-31);1205;e;990;e;2190;e
;;;EC-9 third countries (until 1980-12-31);26175;e;22655;e;48830;e
;;;EEC-6 (until 1972-12-31);1080;e;905;e;1985;e
;;;EEC-6 third countries (until 1972-12-31);26300;e;22735;e;49035;e
;;;Africa;3410;e;2200;e;5605;e
;;;North Africa;1050;e;390;e;1435;e
;;;West Africa;345;e;180;e;530;e
;;;Central Africa;280;e;230;e;510;e
;;;East Africa;1715;e;1370;e;3085;e
;;;Southern Africa;20;e;25;e;50;e
;;;America;610;e;495;e;1110;e
;;;North America;410;e;195;e;605;e
;;;Central America and Caribbean;70;e;90;e;160;e
;;;South America;130;e;215;e;340;e
;;;Asia;8750;e;6235;e;14990;e
;;;South West Asia;4820;e;3300;e;8120;e
;;;South and South East Asia;980;e;1200;e;2180;e
;;;East and Central Asia;2950;e;1735;e;4685;e
;;;Australia and Oceania;15;e;15;e;35;e
;;;Countries of origin of foreign workers;7335;e;5815;e;13150;e
;;;Territory of former Yugoslavia;1245;e;1145;e;2390;e
;;;Territory of former Serbia and Montenegro;500;e;430;e;930;e
;;;Territory of the former Soviet Union;3670;e;5225;e;8895;e
;;;Territory of former Czechoslovakia;80;e;135;e;215;e
;;;United Kingdom incl. British overseas territories;75;e;55;e;130;e
;06532;Lahn-Dill-Kreis;Total;19725;e;18165;e;37895;e
;;;videlicet:;;;;;;
;;;Europe;13330;e;13175;e;26510;e
;;;EU-27 (since 2020-02-01);6005;e;5125;e;11130;e
;;;EU-27 third countries (since 2020-02-01);13720;e;13040;e;26760;e
;;;EU-28 (until 2020-01-31);6050;e;5160;e;11210;e
;;;EU-28 third countries (until 2020-01-31);13675;e;13005;e;26685;e
;;;EU-27 (until 2013-06-30);5715;e;4865;e;10580;e
;;;EU-27 third countries (until 2013-06-30);14010;e;13300;e;27315;e
;;;EU-25 (until 2006-12-31);3345;e;2940;e;6280;e
;;;EU-25 third countries (until 2006-12-31);16385;e;15225;e;31610;e
;;;EU-15 (until 2004-04-30);2165;e;1725;e;3895;e
;;;EU-15 third countries (until 2004-04-30);17560;e;16440;e;34000;e
;;;EC-12 (until 1994-12-31);2025;e;1580;e;3600;e
;;;EC-12 third countries (until 1994-12-31);17705;e;16585;e;34290;e
;;;EC-10 (until 1985-12-31);1485;e;1120;e;2605;e
;;;EC-10 third countries (until 1985-12-31);18240;e;17045;e;35285;e
;;;EC-9 (until 1980-12-31);895;e;640;e;1535;e
;;;EC-9 third countries (until 1980-12-31);18830;e;17530;e;36360;e
;;;EEC-6 (until 1972-12-31);830;e;585;e;1415;e
;;;EEC-6 third countries (until 1972-12-31);18895;e;17580;e;36475;e
;;;Africa;1210;e;915;e;2130;e
;;;North Africa;195;e;105;e;300;e
;;;West Africa;130;e;90;e;215;e
;;;Central Africa;45;e;55;e;95;e
;;;East Africa;825;e;655;e;1485;e
;;;Southern Africa;15;e;15;e;30;e
;;;America;255;e;300;e;555;e
;;;North America;180;e;110;e;290;e
;;;Central America and Caribbean;30;e;60;e;90;e
;;;South America;45;e;130;e;175;e
;;;Asia;4785;e;3655;e;8440;e
;;;South West Asia;2740;e;1910;e;4650;e
;;;South and South East Asia;445;e;720;e;1165;e
;;;East and Central Asia;1595;e;1025;e;2625;e
;;;Australia and Oceania;15;e;5;e;20;e
;;;Countries of origin of foreign workers;7245;e;6450;e;13695;e
;;;Territory of former Yugoslavia;1230;e;1145;e;2375;e
;;;Territory of former Serbia and Montenegro;540;e;540;e;1080;e
;;;Territory of the former Soviet Union;2455;e;3595;e;6050;e
;;;Territory of former Czechoslovakia;100;e;105;e;210;e
;;;United Kingdom incl. British overseas territories;45;e;35;e;80;e
;06533;Limburg-Weilburg, Landkreis;Total;14625;e;12850;e;27475;e
;;;videlicet:;;;;;;
;;;Europe;10285;e;9245;e;19530;e
;;;EU-27 (since 2020-02-01);5095;e;4030;e;9125;e
;;;EU-27 third countries (since 2020-02-01);9530;e;8825;e;18355;e
