Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;Africa;895;e;745;e;1640;e
;;;North Africa;305;e;230;e;530;e
;;;West Africa;205;e;170;e;375;e
;;;Central Africa;45;e;65;e;105;e
;;;East Africa;320;e;255;e;580;e
;;;Southern Africa;20;e;25;e;45;e
;;;America;345;e;400;e;750;e
;;;North America;130;e;105;e;235;e
;;;Central America and Caribbean;55;e;65;e;120;e
;;;South America;160;e;230;e;390;e
;;;Asia;5345;e;4165;e;9515;e
;;;South West Asia;3540;e;2635;e;6175;e
;;;South and South East Asia;515;e;680;e;1195;e
;;;East and Central Asia;1285;e;855;e;2140;e
;;;Australia and Oceania;30;e;20;e;50;e
;;;Countries of origin of foreign workers;4095;e;3740;e;7835;e
;;;Territory of former Yugoslavia;525;e;525;e;1050;e
;;;Territory of former Serbia and Montenegro;295;e;275;e;570;e
;;;Territory of the former Soviet Union;1985;e;3025;e;5010;e
;;;Territory of former Czechoslovakia;45;e;55;e;100;e
;;;United Kingdom incl. British overseas territories;75;e;40;e;115;e
;01004;Neumünster, kreisfreie Stadt;Total;8005;e;6750;e;14760;e
;;;videlicet:;;;;;;
;;;Europe;5180;e;4875;e;10055;e
;;;EU-27 (since 2020-02-01);2855;e;2100;e;4955;e
;;;EU-27 third countries (since 2020-02-01);5150;e;4650;e;9805;e
;;;EU-28 (until 2020-01-31);2880;e;2105;e;4985;e
;;;EU-28 third countries (until 2020-01-31);5130;e;4645;e;9775;e
;;;EU-27 (until 2013-06-30);2770;e;2015;e;4785;e
;;;EU-27 third countries (until 2013-06-30);5235;e;4735;e;9975;e
;;;EU-25 (until 2006-12-31);1150;e;850;e;1995;e
;;;EU-25 third countries (until 2006-12-31);6860;e;5905;e;12760;e
;;;EU-15 (until 2004-04-30);370;e;275;e;645;e
;;;EU-15 third countries (until 2004-04-30);7635;e;6475;e;14115;e
;;;EC-12 (until 1994-12-31);335;e;210;e;545;e
;;;EC-12 third countries (until 1994-12-31);7675;e;6540;e;14215;e
;;;EC-10 (until 1985-12-31);225;e;160;e;385;e
;;;EC-10 third countries (until 1985-12-31);7780;e;6590;e;14375;e
;;;EC-9 (until 1980-12-31);170;e;115;e;285;e
;;;EC-9 third countries (until 1980-12-31);7840;e;6635;e;14475;e
;;;EEC-6 (until 1972-12-31);115;e;80;e;195;e
;;;EEC-6 third countries (until 1972-12-31);7890;e;6670;e;14560;e
;;;Africa;405;e;245;e;650;e
;;;North Africa;105;e;45;e;155;e
;;;West Africa;65;e;45;e;110;e
;;;Central Africa;25;e;15;e;40;e
;;;East Africa;205;e;130;e;335;e
;;;Southern Africa;5;e;10;e;15;e
;;;America;45;e;75;e;120;e
;;;North America;25;e;20;e;45;e
;;;Central America and Caribbean;10;e;10;e;20;e
;;;South America;15;e;45;e;60;e
;;;Asia;2310;e;1500;e;3805;e
;;;South West Asia;1530;e;920;e;2450;e
;;;South and South East Asia;140;e;205;e;345;e
;;;East and Central Asia;640;e;370;e;1010;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;1810;e;1605;e;3415;e
;;;Territory of former Yugoslavia;520;e;495;e;1015;e
;;;Territory of former Serbia and Montenegro;235;e;210;e;445;e
;;;Territory of the former Soviet Union;990;e;1560;e;2550;e
;;;Territory of former Czechoslovakia;20;e;20;e;40;e
;;;United Kingdom incl. British overseas territories;25;e;5;e;30;e
;01051;Dithmarschen, Landkreis;Total;6735;e;5785;e;12520;e
;;;videlicet:;;;;;;
;;;Europe;4020;e;3725;e;7750;e
;;;EU-27 (since 2020-02-01);2510;e;1920;e;4430;e
;;;EU-27 third countries (since 2020-02-01);4225;e;3870;e;8090;e
;;;EU-28 (until 2020-01-31);2530;e;1930;e;4460;e
;;;EU-28 third countries (until 2020-01-31);4205;e;3855;e;8060;e
;;;EU-27 (until 2013-06-30);2485;e;1905;e;4390;e
;;;EU-27 third countries (until 2013-06-30);4250;e;3880;e;8135;e
;;;EU-25 (until 2006-12-31);1425;e;1045;e;2470;e
;;;EU-25 third countries (until 2006-12-31);5310;e;4745;e;10050;e
;;;EU-15 (until 2004-04-30);515;e;385;e;900;e
;;;EU-15 third countries (until 2004-04-30);6220;e;5400;e;11620;e
;;;EC-12 (until 1994-12-31);450;e;310;e;760;e
;;;EC-12 third countries (until 1994-12-31);6285;e;5475;e;11760;e
;;;EC-10 (until 1985-12-31);335;e;255;e;585;e
;;;EC-10 third countries (until 1985-12-31);6400;e;5535;e;11935;e
;;;EC-9 (until 1980-12-31);280;e;205;e;485;e
;;;EC-9 third countries (until 1980-12-31);6450;e;5585;e;12035;e
;;;EEC-6 (until 1972-12-31);240;e;150;e;390;e
;;;EEC-6 third countries (until 1972-12-31);6495;e;5635;e;12135;e
;;;Africa;275;e;210;e;480;e
;;;North Africa;105;e;65;e;170;e
;;;West Africa;35;e;35;e;70;e
;;;Central Africa;15;e;20;e;35;e
;;;East Africa;115;e;80;e;195;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;90;e;125;e;215;e
;;;North America;40;e;30;e;70;e
;;;Central America and Caribbean;10;e;25;e;35;e
;;;South America;40;e;70;e;110;e
;;;Asia;2295;e;1695;e;3990;e
;;;South West Asia;1575;e;1100;e;2675;e
;;;South and South East Asia;130;e;185;e;315;e
;;;East and Central Asia;590;e;410;e;1000;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;975;e;680;e;1650;e
;;;Territory of former Yugoslavia;275;e;220;e;500;e
;;;Territory of former Serbia and Montenegro;160;e;140;e;295;e
;;;Territory of the former Soviet Union;1145;e;1590;e;2740;e
;;;Territory of former Czechoslovakia;25;e;25;e;50;e
;;;United Kingdom incl. British overseas territories;20;e;10;e;30;e
;01053;Herzogtum Lauenburg, Landkreis;Total;11820;e;10890;e;22710;e
